127.0.0.1 - - [15/Jun/2020:08:30:26 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Jun/2020:08:30:28 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 500 3115
0:0:0:0:0:0:0:1 - - [15/Jun/2020:08:30:28 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [15/Jun/2020:08:30:37 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 500 3115
0:0:0:0:0:0:0:1 - - [15/Jun/2020:08:30:39 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 500 3115
0:0:0:0:0:0:0:1 - - [15/Jun/2020:08:30:39 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 500 3115
0:0:0:0:0:0:0:1 - - [15/Jun/2020:08:30:39 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 500 3115
0:0:0:0:0:0:0:1 - - [15/Jun/2020:08:30:40 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 500 3115
0:0:0:0:0:0:0:1 - - [15/Jun/2020:08:30:44 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 500 3117
0:0:0:0:0:0:0:1 - - [15/Jun/2020:08:30:44 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 500 3117
0:0:0:0:0:0:0:1 - - [15/Jun/2020:08:31:30 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 500 3117
0:0:0:0:0:0:0:1 - - [15/Jun/2020:08:31:33 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 500 3117
0:0:0:0:0:0:0:1 - - [15/Jun/2020:08:31:35 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 500 3005
0:0:0:0:0:0:0:1 - - [15/Jun/2020:08:31:37 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 500 3005
0:0:0:0:0:0:0:1 - - [15/Jun/2020:08:31:38 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 500 3005
0:0:0:0:0:0:0:1 - - [15/Jun/2020:08:32:12 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 500 3005
0:0:0:0:0:0:0:1 - - [15/Jun/2020:08:32:15 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 500 3005
0:0:0:0:0:0:0:1 - - [15/Jun/2020:08:32:16 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 500 2918
0:0:0:0:0:0:0:1 - - [15/Jun/2020:08:32:16 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 500 2918
0:0:0:0:0:0:0:1 - - [15/Jun/2020:08:32:18 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 500 2918
