127.0.0.1 - - [24/Jun/2020:09:37:00 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:37:01 -0300] "GET /EventCreator/cadastroDesktop.jsp HTTP/1.1" 200 23863
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:37:01 -0300] "GET /EventCreator/css/bootstrap.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:37:01 -0300] "GET /EventCreator/style.css HTTP/1.1" 200 5793
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:37:01 -0300] "GET /EventCreator/css/bootstrap.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:37:55 -0300] "GET /EventCreator/cadastroDesktop.jsp HTTP/1.1" 200 23867
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:37:55 -0300] "GET /EventCreator/css/bootstrap.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:37:55 -0300] "GET /EventCreator/stylecad1.css HTTP/1.1" 200 5062
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:37:55 -0300] "GET /EventCreator/img/ico.png HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:40:03 -0300] "GET /EventCreator/stylecad2.css HTTP/1.1" 200 4431
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:40:04 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:40:12 -0300] "GET /EventCreator/cadastroMobile.jsp HTTP/1.1" 200 23845
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:40:12 -0300] "GET /EventCreator/css/bootstrap.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:40:12 -0300] "GET /EventCreator/stylecad2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:40:12 -0300] "GET /EventCreator/css/bootstrap.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:46:57 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20259
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:46:57 -0300] "GET /EventCreator/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:46:57 -0300] "GET /EventCreator/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:46:57 -0300] "GET /EventCreator/js/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:46:57 -0300] "GET /EventCreator/img/Carousel.jpg HTTP/1.1" 200 414901
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:46:57 -0300] "GET /EventCreator/img/propa.png HTTP/1.1" 200 294857
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:46:57 -0300] "GET /EventCreator/img/trofeu.jpg HTTP/1.1" 200 71610
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:46:57 -0300] "GET /EventCreator/img/map.jpg HTTP/1.1" 200 1187717
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:46:57 -0300] "GET /EventCreator/img/fut.jpg HTTP/1.1" 200 238579
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:46:57 -0300] "GET /EventCreator/img/fight.jpg HTTP/1.1" 200 774464
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:46:57 -0300] "GET /EventCreator/img/local.png HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:46:57 -0300] "GET /EventCreator/img/calendario.png HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:46:58 -0300] "GET /EventCreator/img/logot.svg HTTP/1.1" 200 16464
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:47:00 -0300] "GET /EventCreator/cad.jsp HTTP/1.1" 200 24521
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:47:00 -0300] "GET /EventCreator/js.js HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:47:00 -0300] "GET /EventCreator/css/bootstrap.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:47:00 -0300] "GET /EventCreator/css/bootstrap.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:47:00 -0300] "GET /EventCreator/style1.css HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:47:00 -0300] "GET /EventCreator/teste.html HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:47:28 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20259
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:47:28 -0300] "GET /EventCreator/img/ico.png HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:47:28 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20259
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:47:28 -0300] "GET /EventCreator/img/ico.png HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:47:28 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20259
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:47:28 -0300] "GET /EventCreator/img/ico.png HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:47:29 -0300] "GET /EventCreator/cad.jsp HTTP/1.1" 200 24521
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:47:29 -0300] "GET /EventCreator/css/bootstrap.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:47:29 -0300] "GET /EventCreator/css/bootstrap.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:47:29 -0300] "GET /EventCreator/teste.html HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:47:30 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20259
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:47:30 -0300] "GET /EventCreator/img/ico.png HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:47:30 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20259
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:47:30 -0300] "GET /EventCreator/img/ico.png HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:47:30 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20259
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:47:31 -0300] "GET /EventCreator/img/ico.png HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:47:31 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20259
0:0:0:0:0:0:0:1 - - [24/Jun/2020:09:47:31 -0300] "GET /EventCreator/img/ico.png HTTP/1.1" 200 530
