127.0.0.1 - - [21/May/2020:08:52:49 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/May/2020:08:52:50 -0300] "GET /EventCreator/login.jsp HTTP/1.1" 200 3848
0:0:0:0:0:0:0:1 - - [21/May/2020:08:52:50 -0300] "GET /EventCreator/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:08:52:50 -0300] "GET /EventCreator/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:08:52:50 -0300] "GET /EventCreator/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:08:52:50 -0300] "GET /EventCreator/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:08:52:51 -0300] "GET /EventCreator/img/backlogin.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:08:52:51 -0300] "GET /EventCreator/img/ico.png HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [21/May/2020:08:53:20 -0300] "GET /EventCreator/login.jsp HTTP/1.1" 200 4049
0:0:0:0:0:0:0:1 - - [21/May/2020:08:53:20 -0300] "GET /EventCreator/img/ico.png HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [21/May/2020:08:53:24 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 21010
0:0:0:0:0:0:0:1 - - [21/May/2020:08:53:24 -0300] "GET /EventCreator/img/back.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:08:53:24 -0300] "GET /EventCreator/img/fight.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:08:53:24 -0300] "GET /EventCreator/img/teste2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:08:53:24 -0300] "GET /EventCreator/img/Card1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:08:53:24 -0300] "GET /EventCreator/img/smartphone.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:08:53:24 -0300] "GET /EventCreator/img/Card2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:08:53:24 -0300] "GET /EventCreator/img/local.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:08:53:24 -0300] "GET /EventCreator/img/calendario.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:08:53:26 -0300] "GET /EventCreator/login.jsp HTTP/1.1" 200 4049
0:0:0:0:0:0:0:1 - - [21/May/2020:08:53:32 -0300] "GET /EventCreator/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 625953
0:0:0:0:0:0:0:1 - - [21/May/2020:08:53:32 -0300] "GET /EventCreator/bootstrap/js/bootstrap.min.js.map HTTP/1.1" 200 190253
0:0:0:0:0:0:0:1 - - [21/May/2020:09:03:19 -0300] "GET /EventCreator/login.jsp HTTP/1.1" 200 4049
0:0:0:0:0:0:0:1 - - [21/May/2020:09:03:19 -0300] "GET /EventCreator/img/ico.png HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [21/May/2020:09:03:19 -0300] "GET /EventCreator/login.jsp HTTP/1.1" 200 4049
0:0:0:0:0:0:0:1 - - [21/May/2020:09:03:19 -0300] "GET /EventCreator/img/ico.png HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [21/May/2020:09:03:37 -0300] "POST /EventCreator/process HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2020:09:03:37 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 21010
0:0:0:0:0:0:0:1 - - [21/May/2020:09:03:40 -0300] "GET /EventCreator/login.jsp HTTP/1.1" 200 4109
0:0:0:0:0:0:0:1 - - [21/May/2020:09:03:52 -0300] "POST /EventCreator/process HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2020:09:03:52 -0300] "GET /EventCreator/login.jsp HTTP/1.1" 200 4049
0:0:0:0:0:0:0:1 - - [21/May/2020:09:03:55 -0300] "POST /EventCreator/process HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2020:09:03:55 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 21010
0:0:0:0:0:0:0:1 - - [21/May/2020:09:03:56 -0300] "GET /EventCreator/login.jsp HTTP/1.1" 200 3868
0:0:0:0:0:0:0:1 - - [21/May/2020:09:23:01 -0300] "POST /EventCreator/process HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2020:09:23:01 -0300] "GET /EventCreator/login.jsp HTTP/1.1" 200 4043
0:0:0:0:0:0:0:1 - - [21/May/2020:11:22:05 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 21010
0:0:0:0:0:0:0:1 - - [21/May/2020:11:22:06 -0300] "GET /EventCreator/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:11:22:06 -0300] "GET /EventCreator/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:11:22:06 -0300] "GET /EventCreator/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:11:22:06 -0300] "GET /EventCreator/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:11:22:06 -0300] "GET /EventCreator/img/fight.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:11:22:06 -0300] "GET /EventCreator/img/back.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:11:22:06 -0300] "GET /EventCreator/img/Card1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:11:22:06 -0300] "GET /EventCreator/img/Card2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:11:22:06 -0300] "GET /EventCreator/img/smartphone.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:11:22:06 -0300] "GET /EventCreator/img/teste2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:11:22:06 -0300] "GET /EventCreator/img/local.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:11:22:06 -0300] "GET /EventCreator/img/calendario.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:14:32:17 -0300] "GET /EventCreator/cad.jsp HTTP/1.1" 200 2506
0:0:0:0:0:0:0:1 - - [21/May/2020:14:32:19 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
