127.0.0.1 - - [16/Jun/2020:08:13:56 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [16/Jun/2020:08:13:57 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 24219
0:0:0:0:0:0:0:1 - - [16/Jun/2020:08:13:58 -0300] "GET /EventCreator/img/il.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2020:08:14:46 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 24219
0:0:0:0:0:0:0:1 - - [16/Jun/2020:08:14:46 -0300] "GET /EventCreator/img/ico.png HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [16/Jun/2020:08:14:46 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 24219
0:0:0:0:0:0:0:1 - - [16/Jun/2020:08:14:46 -0300] "GET /EventCreator/img/ico.png HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [16/Jun/2020:08:15:16 -0300] "GET /EventCreator/listEvent.jsp HTTP/1.1" 200 24219
0:0:0:0:0:0:0:1 - - [16/Jun/2020:08:15:16 -0300] "GET /EventCreator/img/ico.png HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [16/Jun/2020:08:17:30 -0300] "GET /EventCreator/cadEvent.jsp HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [16/Jun/2020:08:17:30 -0300] "GET /EventCreator/img/logob%20(2).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2020:08:17:30 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [16/Jun/2020:08:18:44 -0300] "GET /EventCreator/cadEvent.jsp HTTP/1.1" 200 4212
0:0:0:0:0:0:0:1 - - [16/Jun/2020:08:18:44 -0300] "GET /EventCreator/css/bootstrap.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [16/Jun/2020:08:18:44 -0300] "GET /EventCreator/css/style.css HTTP/1.1" 404 1108
