127.0.0.1 - - [20/May/2020:09:42:26 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [20/May/2020:09:42:27 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [20/May/2020:09:42:27 -0300] "GET /EventCreator/style.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [20/May/2020:09:42:27 -0300] "GET /EventCreator/js/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [20/May/2020:09:42:27 -0300] "GET /EventCreator/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [20/May/2020:09:42:27 -0300] "GET /EventCreator/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [20/May/2020:09:42:27 -0300] "GET /EventCreator/style.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [20/May/2020:09:42:27 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [20/May/2020:09:42:54 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 22232
0:0:0:0:0:0:0:1 - - [20/May/2020:09:42:54 -0300] "GET /EventCreator/style.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [20/May/2020:09:42:54 -0300] "GET /EventCreator/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:09:42:54 -0300] "GET /EventCreator/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:09:42:54 -0300] "GET /EventCreator/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:09:42:54 -0300] "GET /EventCreator/img/fight.jpeg HTTP/1.1" 200 1001924
0:0:0:0:0:0:0:1 - - [20/May/2020:09:42:54 -0300] "GET /EventCreator/img/back.jpg HTTP/1.1" 200 2231717
0:0:0:0:0:0:0:1 - - [20/May/2020:09:42:54 -0300] "GET /EventCreator/style.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [20/May/2020:09:42:54 -0300] "GET /EventCreator/img/Card1.jpg HTTP/1.1" 200 242605
0:0:0:0:0:0:0:1 - - [20/May/2020:09:42:54 -0300] "GET /EventCreator/img/teste2.jpg HTTP/1.1" 200 814083
0:0:0:0:0:0:0:1 - - [20/May/2020:09:42:54 -0300] "GET /EventCreator/img/smartphone.png HTTP/1.1" 200 365099
0:0:0:0:0:0:0:1 - - [20/May/2020:09:42:54 -0300] "GET /EventCreator/img/Card2.jpg HTTP/1.1" 200 377976
0:0:0:0:0:0:0:1 - - [20/May/2020:09:42:54 -0300] "GET /EventCreator/img/calendario.png HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [20/May/2020:09:42:54 -0300] "GET /EventCreator/img/local.png HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [20/May/2020:09:43:22 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 22232
0:0:0:0:0:0:0:1 - - [20/May/2020:09:43:22 -0300] "GET /EventCreator/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:09:43:22 -0300] "GET /EventCreator/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:09:43:22 -0300] "GET /EventCreator/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:09:43:22 -0300] "GET /EventCreator/style.css HTTP/1.1" 200 3535
0:0:0:0:0:0:0:1 - - [20/May/2020:09:43:22 -0300] "GET /EventCreator/img/back.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:09:43:22 -0300] "GET /EventCreator/img/fight.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:09:43:22 -0300] "GET /EventCreator/img/Card1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:09:43:22 -0300] "GET /EventCreator/img/Card2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:09:43:22 -0300] "GET /EventCreator/img/teste2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:09:43:22 -0300] "GET /EventCreator/img/smartphone.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:09:43:22 -0300] "GET /EventCreator/img/local.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:09:43:22 -0300] "GET /EventCreator/img/calendario.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:09:43:28 -0300] "GET /EventCreator/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:09:43:28 -0300] "GET /EventCreator/bootstrap/js/bootstrap.min.js.map HTTP/1.1" 200 190253
0:0:0:0:0:0:0:1 - - [20/May/2020:09:43:28 -0300] "GET /EventCreator/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 625953
0:0:0:0:0:0:0:1 - - [20/May/2020:10:23:54 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:23:54 -0300] "GET /EventCreator/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:10:23:54 -0300] "GET /EventCreator/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:10:23:54 -0300] "GET /EventCreator/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:10:23:54 -0300] "GET /EventCreator/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:10:23:54 -0300] "GET /EventCreator/img/fight.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:10:23:54 -0300] "GET /EventCreator/img/back.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:10:23:54 -0300] "GET /EventCreator/img/Card2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:10:23:54 -0300] "GET /EventCreator/img/Card1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:10:23:54 -0300] "GET /EventCreator/img/smartphone.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:10:23:54 -0300] "GET /EventCreator/img/teste2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:10:23:54 -0300] "GET /EventCreator/img/local.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:10:23:54 -0300] "GET /EventCreator/img/calendario.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:10:23:54 -0300] "GET /EventCreator/img/ico.png HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:50 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:51 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:51 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:52 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:52 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:52 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:53 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:53 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:54 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:54 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:54 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:54 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:54 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:54 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:54 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:55 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:55 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:55 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:55 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:55 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:55 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:56 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:56 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:56 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:56 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:56 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:57 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:57 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:57 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:57 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:57 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:57 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:58 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:58 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:59 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:59 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:59 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:59 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:59 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:24:59 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:25:00 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:25:00 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:25:00 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:25:00 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:25:00 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:25:00 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:25:02 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:25:09 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:25:51 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:26:11 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:26:12 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [20/May/2020:10:26:31 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20993
0:0:0:0:0:0:0:1 - - [20/May/2020:10:26:33 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20993
0:0:0:0:0:0:0:1 - - [20/May/2020:10:26:34 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20993
0:0:0:0:0:0:0:1 - - [20/May/2020:10:27:28 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20999
0:0:0:0:0:0:0:1 - - [20/May/2020:10:28:56 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20999
0:0:0:0:0:0:0:1 - - [20/May/2020:10:28:56 -0300] "GET /EventCreator/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:10:28:56 -0300] "GET /EventCreator/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:10:28:56 -0300] "GET /EventCreator/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:10:28:56 -0300] "GET /EventCreator/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:10:28:56 -0300] "GET /EventCreator/img/fight.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:10:28:56 -0300] "GET /EventCreator/img/back.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:10:28:56 -0300] "GET /EventCreator/img/Card1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:10:28:56 -0300] "GET /EventCreator/img/Card2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:10:28:56 -0300] "GET /EventCreator/img/teste2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:10:28:56 -0300] "GET /EventCreator/img/smartphone.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:10:28:56 -0300] "GET /EventCreator/img/local.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:10:28:56 -0300] "GET /EventCreator/img/calendario.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:10:37:58 -0300] "GET /EventCreator/home.jsp HTTP/1.1" 200 20999
0:0:0:0:0:0:0:1 - - [20/May/2020:10:37:58 -0300] "GET /EventCreator/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2020:10:37:58 -0300] "GET /EventCreator/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
